initially	O
,	O
some	O
insomnia	O
which	O
subsided	O
.	O

long	O
term	O
:	O
low	O
libido	O
,	O
fatigue	O
.	O

i	O
currently	O
take	O
200mg	O
.	O

zoloft	O
has	O
made	O
all	O
the	O
difference	O
in	O
my	O
life	O
:	O
i	O
'	O
m	O
no	O
longer	O
depressed	O
.	O

the	O
anxiety	O
i	O
experience	O
is	O
somewhat	O
resistant	O
,	O
however	O
,	O
and	O
zoloft	O
isn	O
'	O
t	O
really	O
helping	O
.	O

my	O
doctor	O
has	O
prescribed	O
a	O
very	O
low	O
dose	O
of	O
seroquel	O
(	O
off	O
-	O
label	O
)	O
to	O
help	O
the	O
anxiety	O
,	O
but	O
i	O
haven	O
'	O
t	O
taken	O
it	O
.	O

its	O
an	O
antipsychotic	O
with	O
lots	O
of	O
serious	O
side	O
effects	O
(	O
i	O
'	O
m	O
not	O
psychotic	O
)	O
.	O

so	O
,	O
i	O
may	O
need	O
to	O
try	O
a	O
different	O
ssri	O
to	O
see	O
if	O
it	O
will	O
help	O
with	O
the	O
anxiety	O
.	O

memory	O
loss	O
,	O
sweating	B
.	O

i	O
started	O
taking	O
50	O
mg	O
per	O
day	O
after	O
a	O
car	O
accident	O
that	O
left	O
me	O
with	O
a	O
back	O
injury	O
.	O

i	O
am	O
now	O
up	O
to	O
200	O
mg	O
per	O
day	O
of	O
zoloft	O
and	O
i	O
can	O
say	O
i	O
no	O
longer	O
dwell	O
on	O
certain	O
things	O
,	O
but	O
i	O
worry	O
about	O
other	O
things	O
more	O
.	O

i	O
have	O
a	O
high	O
tolerence	O
to	O
meds	O
,	O
i	O
also	O
take	O
2000	O
-	O
3000	O
mg	O
lortab	O
per	O
day	O
for	O
pain	O
and	O
it	O
just	O
barely	O
takes	O
the	O
edge	O
off	O
.	O

i	O
also	O
take	O
flexeril	O
4	O
times	O
a	O
day	O
and	O
take	O
10mg	O
of	O
ambien	O
nightly	O
to	O
sleep	O
,	O
and	O
a	O
blood	O
pressure	O
pill	O
daily	O
(	O
i	O
am	O
not	O
overweight	O
)	O
.	O

even	O
with	O
all	O
this	O
i	O
function	O
normally	O
&	O
i	O
am	O
self	O
employed	O
,	O
which	O
is	O
extremely	O
stressful	O
.	O

no	O
one	O
who	O
knows	O
me	O
would	O
ever	O
believe	O
i	O
take	O
this	O
much	O
medication	O
!	O

i	O
would	O
love	O
to	O
say	O
zoloft	O
is	O
a	O
life	O
saver	O
but	O
it	O
only	O
slightly	O
helps	O
me	O
.	O

if	O
i	O
miss	O
a	O
dose	O
though	O
,	O
i	O
feel	O
like	O
i	O
have	O
little	O
lightening	O
strikes	O
in	O
my	O
head	O
.	O

overall	O
,	O
it	O
does	O
help	O
some	O
,	O
but	O
i	O
have	O
not	O
tried	O
to	O
come	O
off	O
of	O
it	O
,	O
yet	O
!	O

helped	O
me	O
alot	O
.	O

helped	O
a	O
great	O
deal	O
then	O
put	O
on	O
the	O
generic	O
and	O
had	O
a	O
totally	O
negative	O
reaction	O
.	O

i	O
had	O
terrible	B
panic	I
and	O
anxiety	B
.	O

now	O
my	O
dr	O
put	O
me	O
back	O
on	O
name	O
brand	O
he	O
puts	O
on	O
script	O
that	O
it	O
is	O
medically	O
